Business Name,Business Type,Address,Phone Number,Rating,Online Delivery,Website
Yardbird Table & Bar,"Southern, American (New), Cocktail Bars",1600 Lenox Ave,+13055385220,4.5,Yes,https://www.yelp.com/biz/yardbird-table-and-bar-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
CVI.CHE 105,"Peruvian, Seafood, Latin American",1245 Lincoln Rd,+17865348651,4.5,Yes,https://www.yelp.com/biz/cvi-che-105-miami-beach-5?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
La Sandwicherie - Miami Beach,"Sandwiches, French, Juice Bars & Smoothies",229 14th St,+13055328934,4.5,Yes,https://www.yelp.com/biz/la-sandwicherie-miami-beach-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
CVI.CHE 105,"Peruvian, Seafood",105 NE 3rd Ave,+13055773454,4.5,Yes,https://www.yelp.com/biz/cvi-che-105-miami?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Pane & Vino,Italian,1450 Washington Ave,+13055359027,4.5,Yes,https://www.yelp.com/biz/pane-and-vino-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Mister O1 Extraordinary Pizza - South Beach,Pizza,1680 Michigan Ave,+13053978189,4.5,Yes,https://www.yelp.com/biz/mister-o1-extraordinary-pizza-south-beach-miami-beach-2?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Bodega Taqueria y Tequila - South Beach,"Bars, Tacos",1220 16th St,+13057042145,4,Yes,https://www.yelp.com/biz/bodega-taqueria-y-tequila-south-beach-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Puerto Sagua Restaurant,"Cuban, American (New)",700 Collins Ave,+13056731115,4,Yes,https://www.yelp.com/biz/puerto-sagua-restaurant-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Bolivar Restaurant Bar Lounge,"Colombian, Lounges",841 Washington Ave,+13053050801,4.5,Yes,https://www.yelp.com/biz/bolivar-restaurant-bar-lounge-miami-beach-8?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Joe's Stone Crab,"Seafood, Bars, Soup",11 Washington Ave,+13056730365,4,Yes,https://www.yelp.com/biz/joes-stone-crab-miami-beach-3?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
GoGo Fresh Food,"Salad, Empanadas",926 Alton Rd,+13056733137,4.5,Yes,https://www.yelp.com/biz/gogo-fresh-food-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Havana 1957 Cuban Cuisine - Espanola Way,"Cuban, Bars, Breakfast & Brunch",405 Española Way,+13055033828,4,Yes,https://www.yelp.com/biz/havana-1957-cuban-cuisine-espanola-way-miami-beach-8?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
Stiltsville Fish Bar,"Seafood, American (New), Tapas/Small Plates",1787 Purdy Ave,+17863530477,4.5,Yes,https://www.yelp.com/biz/stiltsville-fish-bar-miami-beach?adjust_creative=6mX2moZnkZ3kG6am3lzKMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6mX2moZnkZ3kG6am3lzKMg
